,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,missing_colname 16,missing_colname 17,missing_colname 18,missing_colname 19,missing_colname 20,Rank,Value,fullname,AGE
0,Chickie,Brister,Male,86,1957-07-12,General Manager,Manufacturing,Mass Customer,N,Yes,14,45 Shopko Center,4500,QLD,Australia,6.0,1.03,1.2875,1.609375,1.36796875,1,1,1.71875,Chickie Brister,60
1,Morly,Genery,Male,69,1970-03-22,Structural Engineer,Property,Mass Customer,N,No,16,14 Mccormick Park,2113,NSW,Australia,11.0,0.44,0.44,0.55,0.4675,1,1,1.71875,Morly Genery,47
2,Ardelis,Forrester,Female,10,1974-08-28,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,10,5 Colorado Crossing,3505,VIC,Australia,5.0,0.57,0.57,0.57,0.57,1,1,1.71875,Ardelis Forrester,43
3,Lucine,Stutt,Female,64,1979-01-28,Account Representative III,Manufacturing,Affluent Customer,N,Yes,5,207 Annamark Plaza,4814,QLD,Australia,1.0,0.79,0.9875,0.9875,0.9875,4,4,1.703125,Lucine Stutt,38
4,Melinda,Hadlee,Female,34,1965-09-21,Financial Analyst,Financial Services,Affluent Customer,N,No,19,115 Montana Place,2093,NSW,Australia,9.0,0.72,0.72,0.9,0.9,4,4,1.703125,Melinda Hadlee,52
5,Druci,Brandli,Female,39,1951-04-29,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,22,89105 Pearson Terrace,4075,QLD,Australia,7.0,0.91,1.1375,1.1375,1.1375,6,6,1.671875,Druci Brandli,66
6,Rutledge,Hallt,Male,23,1976-10-06,Compensation Analyst,Financial Services,Mass Customer,N,No,8,7 Nevada Crossing,2620,NSW,Australia,7.0,0.87,0.87,0.87,0.7395,6,6,1.671875,Rutledge Hallt,41
7,Nancie,Vian,Female,74,1972-12-27,Human Resources Assistant II,Retail,Mass Customer,N,Yes,10,85 Carioca Point,4814,QLD,Australia,5.0,0.63,0.7875,0.7875,0.669375,8,8,1.65625,Nancie Vian,45
8,Duff,Karlowicz,Male,50,1972-04-28,Speech Pathologist,Manufacturing,Mass Customer,N,Yes,5,717 West Drive,2200,NSW,Australia,10.0,0.94,1.175,1.46875,1.2484375,8,8,1.65625,Duff Karlowicz,45
9,Barthel,Docket,Male,72,1985-08-02,Accounting Assistant IV,IT,Mass Customer,N,Yes,17,80 Scofield Junction,4151,QLD,Australia,5.0,0.48,0.6,0.6,0.51,10,10,1.640625,Barthel Docket,32
10,Rockwell,Matson,Male,94,1995-01-01,Programmer Analyst I,Retail,High Net Worth,N,No,3,3682 Crowley Point,4573,QLD,Australia,6.0,0.42,0.42,0.525,0.525,10,10,1.640625,Rockwell Matson,22
11,Wheeler,Winward,Male,48,1999-08-30,Environmental Specialist,Manufacturing,Mass Customer,N,No,10,3 Golden Leaf Point,3216,VIC,Australia,8.0,0.67,0.67,0.67,0.5695,12,12,1.625,Wheeler Winward,18
12,Olag,missing,Male,60,1990-05-13,Human Resources Manager,Telecommunications,Mass Customer,N,No,9,0484 North Avenue,2032,NSW,Australia,11.0,0.73,0.73,0.9125,0.775625,13,13,1.609375,Olag missing,27
13,Melba,Spellacy,Female,38,1976-12-09,VP Marketing,Health,Mass Customer,N,No,4,0591 Anzinger Circle,2232,NSW,Australia,10.0,0.81,0.81,1.0125,0.860625,14,14,1.59375,Melba Spellacy,41
14,Mandie,Feares,Female,32,1964-04-19,Clinical Specialist,Health,Mass Customer,N,No,10,39 Kedzie Pass,4053,QLD,Australia,8.0,1.07,1.07,1.07,0.9095,14,14,1.59375,Mandie Feares,53
15,Dukie,Swire,Male,88,1954-03-31,,Manufacturing,Affluent Customer,N,Yes,5,64 Granby Parkway,2500,NSW,Australia,8.0,0.63,0.7875,0.984375,0.984375,16,16,1.5625,Dukie Swire,63
16,Marcelia,Monkleigh,Female,61,1993-08-22,Associate Professor,Manufacturing,Mass Customer,N,Yes,4,610 Swallow Street,4051,QLD,Australia,6.0,1.07,1.3375,1.3375,1.136875,17,17,1.546875,Marcelia Monkleigh,24
17,Winnifred,Beswetherick,Female,83,1976-06-08,Actuary,Financial Services,Mass Customer,N,No,14,61 4th Street,3040,VIC,Australia,10.0,0.93,0.93,1.1625,0.988125,17,17,1.546875,Winnifred Beswetherick,41
18,Odilia,Quick,Female,65,1938-11-09,General Manager,Manufacturing,Affluent Customer,N,Yes,11,1550 Russell Way,2222,NSW,Australia,11.0,0.54,0.675,0.84375,0.84375,19,19,1.53125,Odilia Quick,79
19,Karly,Willavize,Female,2,1954-08-12,Internal Auditor,Manufacturing,High Net Worth,N,No,12,193 North Point,2190,NSW,Australia,10.0,0.68,0.68,0.85,0.85,19,19,1.53125,Karly Willavize,63
20,Teddie,Burchill,Male,11,1968-12-21,Programmer I,Manufacturing,Mass Customer,N,Yes,13,321 Raven Plaza,2161,NSW,Australia,9.0,0.99,1.2375,1.546875,1.31484375,21,21,1.515625,Teddie Burchill,49
21,Gaston,Dallaghan,Male,44,1993-09-29,Financial Analyst,Financial Services,Mass Customer,N,Yes,8,656 Fuller Street,2783,NSW,Australia,7.0,0.54,0.675,0.675,0.57375,21,21,1.515625,Gaston Dallaghan,24
22,Otis,Ottey,Male,26,1998-02-05,Quality Engineer,,Mass Customer,N,No,3,1562 Merchant Street,4744,QLD,Australia,4.0,1.08,1.08,1.08,0.918,23,23,1.5,Otis Ottey,19
23,Tabbatha,Averill,Female,5,1977-12-17,Quality Control Specialist,,Affluent Customer,N,Yes,13,663 8th Parkway,2257,NSW,Australia,8.0,0.6,0.75,0.75,0.75,23,23,1.5,Tabbatha Averill,40
24,Brena,Schnitter,Female,78,1982-10-11,Account Executive,Manufacturing,Mass Customer,N,No,4,67 Shelley Street,4703,QLD,Australia,5.0,0.82,0.82,0.82,0.697,25,25,1.484375,Brena Schnitter,35
25,Rourke,Gillbard,Male,11,1945-08-03,,Property,Mass Customer,N,No,17,75 Cordelia Trail,4817,QLD,Australia,4.0,0.66,0.66,0.66,0.561,26,26,1.46875,Rourke Gillbard,72
26,Dyane,Burwell,Female,19,1952-06-27,Engineer II,Retail,Mass Customer,N,Yes,7,51 Hooker Court,2640,NSW,Australia,2.0,0.4,0.5,0.5,0.425,26,26,1.46875,Dyane Burwell,65
27,Claudine,Barstowk,Female,71,1966-07-20,Nurse,Property,High Net Worth,N,Yes,5,1859 Forest Circle,4000,QLD,Australia,11.0,0.78,0.975,1.21875,1.21875,26,26,1.46875,Claudine Barstowk,51
28,Blinnie,Roze,Female,84,1960-12-10,Librarian,Entertainment,High Net Worth,N,No,11,44557 Rutledge Court,4171,QLD,Australia,7.0,0.81,0.81,1.0125,1.0125,26,26,1.46875,Blinnie Roze,57
29,Rhona,De Freyne,Female,45,1960-11-22,,Health,High Net Worth,N,No,8,11184 East Drive,3056,VIC,Australia,10.0,0.7,0.7,0.875,0.875,30,30,1.4609375,Rhona De Freyne,57
30,Sharron,Claibourn,Female,62,1980-01-26,,Financial Services,High Net Worth,N,Yes,17,555 Hermina Avenue,2280,NSW,Australia,8.0,0.63,0.7875,0.7875,0.7875,30,30,1.4609375,Sharron Claibourn,37
31,Brien,Heaton,Male,70,1951-11-28,Clinical Specialist,Health,Mass Customer,N,Yes,12,8 Novick Trail,2470,NSW,Australia,2.0,0.84,1.05,1.05,0.8925,32,32,1.453125,Brien Heaton,66
32,Sybilla,MacCart,Female,88,1987-01-15,Paralegal,Financial Services,Mass Customer,N,Yes,7,74 Welch Pass,2620,NSW,Australia,7.0,0.52,0.65,0.8125,0.690625,32,32,1.453125,Sybilla MacCart,30
33,Mikel,McNess,Male,71,1981-09-22,Nurse,,Mass Customer,N,No,9,3 Pleasure Drive,4122,QLD,Australia,9.0,0.72,0.72,0.9,0.765,32,32,1.453125,Mikel McNess,36
34,Maisie,Maddox,Female,27,1977-05-09,Assistant Manager,Financial Services,Affluent Customer,N,No,20,8 Dennis Point,3226,VIC,Australia,9.0,1.03,1.03,1.2875,1.2875,32,32,1.453125,Maisie Maddox,40
35,Arleen,Casbolt,Female,48,1975-05-10,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,13,41042 Lotheville Crossing,4817,QLD,Australia,1.0,0.66,0.825,0.825,0.825,36,36,1.44765625,Arleen Casbolt,42
